address,eligible,status_text,latency_sec,checked_at,lat,lon,method
270 Flinders Street VIC,False,,40.785,2025-08-14T02:13:59.083659+00:00,-37.8177285,144.9653561,test_bulk
267 Flinders Lane VIC 3000,False,,38.187,2025-08-14T02:14:37.271628+00:00,-37.8170329,144.9655353,test_bulk
205 Collins Street VIC,False,,38.95,2025-08-14T02:15:16.222081+00:00,-37.815815,144.967378,test_bulk
471 Little Bourke Street Melbourne VIC 3000,False,,38.225,2025-08-14T02:15:54.448351+00:00,-37.8145395,144.9590572,test_bulk
630 Little Collins Street Melbourne VIC 3000,False,,38.791,2025-08-14T02:16:33.240029+00:00,-37.8178023,144.9539372,test_bulk
287 King Street VIC,False,,39.359,2025-08-14T02:17:22.608312+00:00,-37.8137769,144.9542371,test_bulk
600 Little Bourke Street Melbourne VIC 3000,False,,38.019,2025-08-14T02:18:00.627540+00:00,-37.8154676,144.9546001,test_bulk
197-199 King Street Melbourne VIC 3000,False,,13.539,2025-08-14T02:18:14.166943+00:00,-37.8155762,144.955062,test_bulk
270 Collins Street VIC,False,,13.681,2025-08-14T02:18:27.848571+00:00,-37.815685,144.964928,test_bulk
195 Swanston Street Melbourne VIC 3000,False,,40.942,2025-08-14T02:19:08.790777+00:00,-37.8130976,144.9649711,test_bulk
