address,eligible,status_text,latency_sec,checked_at,lat,lon,method
267 Flinders Lane VIC 3000,False,,36.079,2025-08-12T04:23:21.039205+00:00,-37.8170329,144.9655353,dom
270 Flinders Street VIC,False,,36.263,2025-08-12T04:23:21.198282+00:00,-37.8177285,144.9653561,dom
205 Collins Street VIC,False,,36.777,2025-08-12T04:23:21.741096+00:00,-37.815815,144.967378,dom
471 Little Bourke Street Melbourne VIC 3000,False,,35.509,2025-08-12T04:23:21.799482+00:00,-37.8145395,144.9590572,dom
197-199 King Street Melbourne VIC 3000,True,Great! Your address is eligible for 5G Home Internet.,8.394,2025-08-12T04:23:30.198471+00:00,-37.8155762,144.955062,dom
270 Collins Street VIC,True,Great! Your address is eligible for 5G Home Internet.,8.249,2025-08-12T04:23:38.449960+00:00,-37.815685,144.964928,dom
630 Little Collins Street Melbourne VIC 3000,False,,33.534,2025-08-12T04:23:54.584760+00:00,-37.8178023,144.9539372,dom
287 King Street VIC,False,,33.574,2025-08-12T04:23:54.783362+00:00,-37.8137769,144.9542371,dom
600 Little Bourke Street Melbourne VIC 3000,False,,33.492,2025-08-12T04:23:55.245650+00:00,-37.8154676,144.9546001,dom
195 Swanston Street Melbourne VIC 3000,False,,33.594,2025-08-12T04:24:12.049874+00:00,-37.8130976,144.9649711,dom
318 Little Bourke Street Melbourne VIC 3000,False,,33.477,2025-08-12T04:24:28.063667+00:00,-37.8129338,144.9631368,dom
191 Collins Street Melbourne VIC 3000,False,,33.586,2025-08-12T04:24:28.370166+00:00,-37.815497,144.967598,dom
250 Elizabeth Street Melbourne VIC 3000,False,,33.656,2025-08-12T04:24:28.902742+00:00,-37.8124101,144.9625534,dom
211 Gertrude Street VIC,True,Great! Your address is eligible for 5G Home Internet.,8.229,2025-08-12T04:24:36.294022+00:00,-37.8060713,144.9816516,dom
1-9 Federation Wharf Melbourne VIC 3000,True,Great! Your address is eligible for 5G Home Internet.,8.230,2025-08-12T04:24:36.599943+00:00,-37.8187059,144.9686342,dom
1 Smith Street Fitzroy VIC 3065,True,Great! Your address is eligible for 5G Home Internet.,8.222,2025-08-12T04:24:37.124915+00:00,-37.8085185,144.982476,dom
243-245 Gertrude Street VIC,True,Great! Your address is eligible for 5G Home Internet.,8.214,2025-08-12T04:24:44.813698+00:00,-37.8062207,144.9825807,dom
253 Flinders Lane VIC,False,,33.427,2025-08-12T04:24:45.477161+00:00,-37.8169458,144.9659025,dom
5 Riverside Quay Southbank VIC 3006,False,,33.412,2025-08-12T04:25:09.706549+00:00,-37.8214816,144.9644575,dom
33 Spencer Street VIC,False,,33.433,2025-08-12T04:25:10.557550+00:00,-37.8200975,144.9542549,dom
270 Flinders Street Melbourne VIC,False,,36.638,2025-08-12T04:31:18.979934+00:00,-37.8177285,144.9653561,dom
205 Collins Street Melbourne VIC,False,,36.825,2025-08-12T04:31:19.277627+00:00,-37.8158150,144.9673780,dom
267 Flinders Lane Melbourne VIC,False,,36.864,2025-08-12T04:31:19.291970+00:00,-37.8170329,144.9655353,dom
471 Little Bourke Street Melbourne VIC,False,,37.275,2025-08-12T04:31:19.961389+00:00,-37.8145395,144.9590572,dom
197-199 King Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.276,2025-08-12T04:31:28.237715+00:00,-37.8155762,144.9550620,dom
270 Collins Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.216,2025-08-12T04:31:36.454207+00:00,-37.8156850,144.9649280,dom
630 Little Collins Street Melbourne VIC,False,,33.475,2025-08-12T04:31:52.454962+00:00,-37.8178023,144.9539372,dom
287 King Street Melbourne VIC,False,,33.568,2025-08-12T04:31:52.845546+00:00,-37.8137769,144.9542371,dom
600 Little Bourke Street Melbourne VIC,False,,33.560,2025-08-12T04:31:52.852044+00:00,-37.8154676,144.9546001,dom
195 Swanston Street Melbourne VIC,False,,33.399,2025-08-12T04:32:09.853523+00:00,-37.8130976,144.9649711,dom
